ID,Area Name,Hood ID,Population 2023,Value Year,Count,Rate,Area,Initials
30,Milliken,130,28371,2014,39.0,143.1087646,Milliken (130),M
47,Etobicoke City Centre,159,25495,2014,64.0,328.9642639,Etobicoke City Centre (159),ECC
48,Islington,158,25937,2014,26.0,112.5589828,Islington (158),I
70,Wexford/Maryvale,119,29870,2014,59.0,209.2792206,Wexford/Maryvale (119),W
107,Don Valley Village,47,29424,2014,50.0,180.4402771,Don Valley Village (47),DVV
114,Bedford Park-Nortown,39,25583,2014,40.0,169.7648773,Bedford Park-Nortown (39),BP
117,Newtonbrook West,36,26265,2014,50.0,206.3387299,Newtonbrook West (36),NW
122,Yorkdale-Glen Park,31,17258,2014,67.0,463.4433289,Yorkdale-Glen Park (31),YP
126,York University Heights,27,29897,2014,108.0,374.7267761,York University Heights (27),YUH
154,West Humber-Clairville,1,36388,2014,309.0,897.2907104,West Humber-Clairville (1),WH
30,Milliken,130,28371,2015,43.0,159.1001587,Milliken (130),M
47,Etobicoke City Centre,159,25495,2015,76.0,374.7904053,Etobicoke City Centre (159),ECC
48,Islington,158,25937,2015,24.0,103.1149292,Islington (158),I
70,Wexford/Maryvale,119,29870,2015,52.0,184.005661,Wexford/Maryvale (119),W
107,Don Valley Village,47,29424,2015,28.0,101.2255554,Don Valley Village (47),DVV
114,Bedford Park-Nortown,39,25583,2015,40.0,170.3069763,Bedford Park-Nortown (39),BP
117,Newtonbrook West,36,26265,2015,24.0,98.86714935,Newtonbrook West (36),NW
122,Yorkdale-Glen Park,31,17258,2015,53.0,367.2394714,Yorkdale-Glen Park (31),YP
126,York University Heights,27,29897,2015,100.0,348.8940125,York University Heights (27),YUH
154,West Humber-Clairville,1,36388,2015,266.0,778.005249,West Humber-Clairville (1),WH
30,Milliken,130,28371,2016,35.0,130.3149872,Milliken (130),M
47,Etobicoke City Centre,159,25495,2016,103.0,487.2279968,Etobicoke City Centre (159),ECC
48,Islington,158,25937,2016,33.0,140.2226563,Islington (158),I
70,Wexford/Maryvale,119,29870,2016,42.0,147.9290009,Wexford/Maryvale (119),W
107,Don Valley Village,47,29424,2016,28.0,101.2109146,Don Valley Village (47),DVV
114,Bedford Park-Nortown,39,25583,2016,30.0,127.8663406,Bedford Park-Nortown (39),BP
117,Newtonbrook West,36,26265,2016,45.0,184.6078033,Newtonbrook West (36),NW
122,Yorkdale-Glen Park,31,17258,2016,41.0,283.5800171,Yorkdale-Glen Park (31),YP
126,York University Heights,27,29897,2016,109.0,381.8532104,York University Heights (27),YUH
154,West Humber-Clairville,1,36388,2016,323.0,950.5870972,West Humber-Clairville (1),WH
30,Milliken,130,28371,2017,60.0,220.8236694,Milliken (130),M
47,Etobicoke City Centre,159,25495,2017,71.0,325.1213379,Etobicoke City Centre (159),ECC
48,Islington,158,25937,2017,24.0,100.3344498,Islington (158),I
70,Wexford/Maryvale,119,29870,2017,67.0,233.3031616,Wexford/Maryvale (119),W
107,Don Valley Village,47,29424,2017,29.0,103.4753418,Don Valley Village (47),DVV
114,Bedford Park-Nortown,39,25583,2017,47.0,197.1145782,Bedford Park-Nortown (39),BP
117,Newtonbrook West,36,26265,2017,34.0,137.4292603,Newtonbrook West (36),NW
122,Yorkdale-Glen Park,31,17258,2017,52.0,349.1104431,Yorkdale-Glen Park (31),YP
126,York University Heights,27,29897,2017,93.0,322.0444641,York University Heights (27),YUH
154,West Humber-Clairville,1,36388,2017,329.0,954.8409424,West Humber-Clairville (1),WH
30,Milliken,130,28371,2018,91.0,330.0449829,Milliken (130),M
47,Etobicoke City Centre,159,25495,2018,122.0,540.468689,Etobicoke City Centre (159),ECC
48,Islington,158,25937,2018,36.0,147.426178,Islington (158),I
70,Wexford/Maryvale,119,29870,2018,86.0,295.1371155,Wexford/Maryvale (119),W
107,Don Valley Village,47,29424,2018,26.0,91.369133,Don Valley Village (47),DVV
