ID,Area Name,Hood ID,Population 2023,Value Year,Count,Rate
1,South Eglinton-Davisville,174,21987,2014,5.0,27.3792572
2,North Toronto,173,15077,2014,4.0,34.39676666
3,Dovercourt Village,172,13837,2014,8.0,58.85815048
4,Junction-Wallace Emerson,171,26240,2014,19.0,80.89581299
5,Yonge-Bay Corridor,170,14731,2014,12.0,116.279068
6,Bay-Cloverhill,169,19055,2014,6.0,42.84490204
7,Bendale-Glen Andrew,156,20773,2014,35.0,187.7581635
8,Downsview,155,17003,2014,37.0,234.5037384
9,Oakdale-Beverley Heights,154,21503,2014,66.0,324.5316467
10,Avondale,153,16149,2014,9.0,70.12622833
11,East Willowdale,152,18285,2014,17.0,107.4996872
12,Yonge-Doris,151,23234,2014,7.0,32.48259735
13,Fenside-Parkwoods,150,22909,2014,19.0,88.59461212
14,Parkwoods-O'Connor Hills,149,14788,2014,16.0,110.7803116
15,East L'Amoreaux,148,23988,2014,7.0,30.8085022
16,L'Amoreaux West,147,24374,2014,11.0,48.50515747
17,Malvern East,146,28098,2014,18.0,66.16187286
18,Malvern West,145,19412,2014,7.0,37.4511795
19,Morningside Heights,144,28167,2014,31.0,117.1491165
20,West Rouge,143,22396,2014,30.0,142.6533508
21,Woburn North,142,29500,2014,26.0,93.23006439
22,Golfdale-Cedarbrae-Woburn,141,28651,2014,22.0,81.35794067
23,Guildwood,140,10332,2014,2.0,20.20610237
24,Scarborough Village,139,17713,2014,20.0,117.7648239
25,Eglinton East,138,24231,2014,19.0,82.33306122
26,West Hill,136,29259,2014,22.0,79.80267334
27,Morningside,135,18463,2014,21.0,117.7724152
28,Highland Creek,134,13871,2014,25.0,190.2008514
29,Centennial Scarborough,133,14609,2014,8.0,58.52231216
30,Milliken,130,28371,2014,39.0,143.1087646
31,Agincourt North,129,31260,2014,17.0,56.12783813
32,Agincourt South-Malvern West,128,28097,2014,33.0,139.5407867
33,Dorset Park,126,26286,2014,51.0,203.8776703
34,Ionview,125,14121,2014,5.0,35.97122192
35,Kennedy Park,124,18173,2014,26.0,146.9590759
36,Cliffcrest,123,17922,2014,19.0,117.1248932
37,Birchcliffe-Cliffside,122,23417,2014,13.0,58.31949997
38,Downtown Yonge East,168,18023,2014,27.0,204.2514496
39,Church-Wellesley,167,22938,2014,11.0,62.40072632
40,St Lawrence-East Bayfront-The Islands,166,31003,2014,20.0,88.66033936
41,Harbourfront-CityPlace,165,31477,2014,14.0,60.38908005
42,Wellington Place,164,28870,2014,28.0,189.2403412
43,Fort York-Liberty Village,163,21860,2014,10.0,66.61781311
44,West Queen West,162,15136,2014,12.0,90.6960907
45,Humber Bay Shores,161,20822,2014,7.0,47.67418289
46,Mimico-Queensway,160,18313,2014,28.0,164.8804626
47,Etobicoke City Centre,159,25495,2014,64.0,328.9642639
48,Islington,158,25937,2014,26.0,112.5589828
49,Bendale South,157,10881,2014,10.0,93.17927551
50,Caledonia-Fairbank,109,10581,2014,11.0,107.3066025
51,Briar Hill-Belgravia,108,15146,2014,14.0,94.8059845
52,Oakwood Village,107,22404,2014,20.0,91.84844971
53,Humewood-Cedarvale,106,15620,2014,11.0,74.84520721
54,Lawrence Park North,105,15581,2014,23.0,152.4390259
55,Lawrence Park South,103,16778,2014,15.0,94.80470276
56,Forest Hill North,102,13172,2014,12.0,92.52120209
57,Forest Hill South,101,12160,2014,5.0,45.19978333
58,Yonge-Eglinton,100,13743,2014,6.0,50.9857254
59,Mount Pleasant East,99,18084,2014,7.0,40.96681595
60,Rosedale-Moore Park,98,23053,2014,10.0,47.19207001
61,Yonge-St.Clair,97,13953,2014,2.0,15.9884882
62,Casa Loma,96,11972,2014,4.0,36.40335083
63,Annex,95,34502,2014,12.0,40.79135132
64,Wychwood,94,14609,2014,5.0,36.7728157
65,Corso Italia-Davenport,92,14784,2014,16.0,111.0494156
66,Weston-Pelham Park,91,12330,2014,23.0,195.0805817
67,Junction Area,90,15252,2014,25.0,173.8767548
68,Oakridge,121,15389,2014,21.0,149.7967072
69,Clairlea-Birchmount,120,28782,2014,44.0,166.6540375
70,Wexford/Maryvale,119,29870,2014,59.0,209.2792206
